case_id,dice,hd95,gt_voxels,split,size_group
r001s008,0.13804527885146328,70.17156460674595,1686,TRAIN,MEDIUM
r001s002,0.9019320843091335,3.1622776601683795,104591,TRAIN,LARGE
r001s004,0.7747905464549206,7.874007874011811,32931,TRAIN,LARGE
r001s001,0.7947821861742884,9.848857801796104,89056,TRAIN,LARGE
r001s005,0.82450079308172,5.385164807134504,25816,TRAIN,LARGE
r001s006,0.13086074177746676,66.12412533990195,2601,TRAIN,MEDIUM
r001s007,0.6972880527730271,2.449489742783178,3194,TRAIN,LARGE
r001s003,0.8056018672890963,2.9056349186104127,1279,VAL,MEDIUM
r001s009,0.6168987929433611,5.0,6111,TRAIN,LARGE
r001s011,0.8823399265454224,1.7320508075688772,10749,VAL,LARGE
r001s010,0.8511834652240564,4.898979485566356,79902,TRAIN,LARGE
r001s012,0.7808707270905244,7.874007874011811,10109,TRAIN,LARGE
r001s016,0.4797332865414985,6.782329983125268,4148,VAL,LARGE
r001s014,0.5912114149280883,38.84584919911006,12265,TRAIN,LARGE
r001s015,0.865101651128833,2.449489742783178,4796,TRAIN,LARGE
r001s013,0.4654247812588202,17.72004514666935,7328,TRAIN,LARGE
r001s017,0.6122556788166931,50.80895566759247,2069,TRAIN,MEDIUM
r001s018,0.8680688336520076,1.0,230,VAL,SMALL
r001s023,0.20168067226890757,29.199298837962925,12,TRAIN,SMALL
r001s019,0.7464369441446805,8.602325267042627,53972,TRAIN,LARGE
r001s020,0.8461488084409678,6.0,62748,VAL,LARGE
r001s021,0.6364955033362344,8.774964387392123,1787,VAL,MEDIUM
r001s024,0.8346849656893325,1.0,677,TRAIN,MEDIUM
r001s025,0.8881521549467807,1.4142135623730951,2955,VAL,MEDIUM
r001s022,0.013270142180094787,68.29230038869423,37,TRAIN,SMALL
r001s026,0.8137188971082717,2.23606797749979,2515,VAL,MEDIUM
r001s028,0.4987405541561713,56.52433104425032,237,TRAIN,SMALL
r001s029,0.4573756182717486,14.177446878757825,2152,TRAIN,MEDIUM
r001s034,0.7616951018161805,3.4641016151377544,1947,TRAIN,MEDIUM
r001s033,0.8991735537190083,2.8284271247461903,24209,TRAIN,LARGE
r001s027,0.6624376982328953,40.422765862815474,966,TRAIN,MEDIUM
r001s031,0.8188372729761796,7.0710678118654755,30888,VAL,LARGE
r001s030,0.8350421277027713,4.358898943540674,5449,VAL,LARGE
r001s032,0.1855758511276906,55.263007518592396,5437,TRAIN,LARGE
r002s001,0.4470021973422622,12.212689580461015,7328,TRAIN,LARGE
r002s003,0.8099581908019764,39.68374790287622,2830,TRAIN,MEDIUM
r002s002,0.9019953331111006,28.146934839369795,22301,TRAIN,LARGE
r002s004,0.9154442923267488,1.0,7668,TRAIN,LARGE
r002s005,0.9316728374284753,1.0,3050,TRAIN,LARGE
r002s006,0.13696915511846222,34.19064199455752,20375,TRAIN,LARGE
r001s036,0.8602113876576883,9.273618495495704,5490,TRAIN,LARGE
r002s007,0.8206200787401575,4.527355824977709,4702,TRAIN,LARGE
r001s037,0.6612923332640764,7.0710678118654755,19967,TRAIN,LARGE
r001s038,0.48464163822525597,57.31491354846791,158,TRAIN,SMALL
r001s040,0.004519381192421346,19.131126469708992,1912,TRAIN,MEDIUM
r001s039,0.33019853709508884,19.949937343260004,910,TRAIN,MEDIUM
r002s008,0.8884361455740604,4.123105625617661,48565,TRAIN,LARGE
r003s002,0.48120041393583995,11.26490351272013,4396,VAL,LARGE
r002s009,0.875553534241329,21.544139142184434,38926,VAL,LARGE
r002s010,0.9333284809665915,2.8284271247461903,120083,TRAIN,LARGE
r002s011,0.8404721502228355,8.12403840463596,26210,TRAIN,LARGE
r003s003,0.9484110768587017,2.449489742783178,152307,TRAIN,LARGE
r003s001,0.8163551401869159,4.58257569495584,17128,TRAIN,LARGE
r002s012,0.8479199110122358,3.7416573867739413,24575,VAL,LARGE
r003s004,0.9121813335626155,4.242640687119285,99446,TRAIN,LARGE
r003s007,0.8507217248309885,1.4142135623730951,2794,VAL,MEDIUM
r003s005,0.9530902874069379,2.0,162015,VAL,LARGE
r003s006,0.8747836122331217,1.0,795,VAL,MEDIUM
r003s008,0.9017274997757414,3.605551275463989,100640,TRAIN,LARGE
r003s011,0.802191038897095,8.246211251235321,9412,VAL,LARGE
r003s010,0.49622166246851385,66.01514282456398,311,TRAIN,SMALL
r003s009,0.9066328392444437,3.3166247903554,30391,TRAIN,LARGE
r003s013,0.8549077733860343,1.4142135623730951,5249,TRAIN,LARGE
r003s014,0.8670730940858525,2.449489742783178,15334,TRAIN,LARGE
r004s004,0.946964074336499,2.449489742783178,242093,TRAIN,LARGE
r003s012,0.7460177744967205,4.242640687119285,21623,TRAIN,LARGE
r003s015,0.7435975920824406,4.443826702134853,6023,VAL,LARGE
r004s001,0.8818252147830453,1.7320508075688772,35751,TRAIN,LARGE
r004s003,0.47318498359081085,34.68429039204925,37139,TRAIN,LARGE
r004s006,0.8611396303901437,5.916079783099616,3977,TRAIN,LARGE
r004s005,0.7401342281879195,10.198039027185569,2993,VAL,MEDIUM
r004s007,0.6894137118849067,7.0,6660,VAL,LARGE
r004s002,0.8315459631632832,20.493901531919196,42202,VAL,LARGE
r004s008,0.7512639029322548,2.449489742783178,1620,VAL,MEDIUM
r004s010,0.8487451141740383,3.0,21014,TRAIN,LARGE
r004s013,0.874597099113618,3.0,56351,TRAIN,LARGE
r004s011,0.8761124583734611,4.123105625617661,45472,VAL,LARGE
r004s014,0.8940865362695481,2.8284271247461903,10467,TRAIN,LARGE
r004s012,0.6731426401721301,7.211102550927978,10963,TRAIN,LARGE
