case_id,dice,hd95,gt_voxels,split,size_group
r001s014,0.5683906385437735,39.649085644543305,12265,TRAIN,LARGE
r003s014,0.86426435877262,3.0,15334,TRAIN,LARGE
r001s029,0.4435389988358556,14.352700094407323,2152,TRAIN,MEDIUM
r001s019,0.7579146203248961,9.1104335791443,53972,TRAIN,LARGE
r001s022,0.0,73.60027173862879,37,TRAIN,SMALL
r002s011,0.8371203234131639,8.06225774829855,26210,TRAIN,LARGE
r002s010,0.9302336832938216,2.8284271247461903,120083,TRAIN,LARGE
r004s001,0.8817271760181119,2.0,35751,TRAIN,LARGE
r004s020,0.9161171845858082,3.1622776601683795,91044,TRAIN,LARGE
r004s019,0.8046772578110368,30.574494980545964,51812,TRAIN,LARGE
r004s028,0.8414451953859444,5.477225575051661,51519,TRAIN,LARGE
r004s026,0.8356400287976962,8.54400374531753,89300,TRAIN,LARGE
r004s009,0.9272590294704188,2.23606797749979,59039,TRAIN,LARGE
r004s037,0.9024526198439242,2.23606797749979,17220,TRAIN,LARGE
r001s039,0.39730134932533734,15.649274913779585,910,TRAIN,MEDIUM
r005s044,0.6559226430298146,38.7556447501522,415,TRAIN,SMALL
r005s047,0.4038359083644113,13.063294623546167,393,TRAIN,SMALL
r005s071,0.8369098712446352,1.0,468,TRAIN,SMALL
r005s058,0.8951918701653269,2.0,12397,TRAIN,LARGE
r005s046,0.915996246481076,2.8284271247461903,78179,TRAIN,LARGE
r005s086,0.590443686006826,18.8785324465983,740,TRAIN,MEDIUM
r009s001,0.7520559599205974,13.076094625544624,5829,TRAIN,LARGE
r009s006,0.3688760806916426,39.12286914099058,3671,TRAIN,LARGE
r009s011,0.6258773982218063,13.152812219847675,3563,TRAIN,LARGE
r009s034,0.625778943916038,12.201984555225023,1963,TRAIN,MEDIUM
r009s036,0.0,74.012269617734,143,TRAIN,SMALL
r009s037,0.3593817230993281,18.964218912984265,6843,TRAIN,LARGE
r009s050,0.08165548098434004,74.67288512027245,1450,TRAIN,MEDIUM
r009s053,0.5568496949528563,66.02854395670495,1107,TRAIN,MEDIUM
r009s020,0.7573794096472283,26.735729730566536,809,TRAIN,MEDIUM
r009s065,0.1369472182596291,56.309742701356036,48,TRAIN,SMALL
r009s076,0.5222929936305732,79.38786006947593,53,TRAIN,SMALL
r009s082,0.0,43.942958711594514,41,TRAIN,SMALL
r009s097,0.7450424929178471,1.4141434317562283,263,TRAIN,SMALL
r009s098,0.7829787234042553,6.402876410588331,5063,TRAIN,LARGE
r009s109,0.8006236080178174,4.122889133873665,11577,TRAIN,LARGE
r009s115,0.6171857742434284,4.582489125171726,3016,TRAIN,LARGE
r009s117,0.7690058479532164,16.576937566351727,634,TRAIN,MEDIUM
r009s120,0.7242921013412816,5.656573727024913,624,TRAIN,MEDIUM
r009s121,0.6857142857142857,7.294984841170142,709,TRAIN,MEDIUM
r010s014,0.2504743833017078,11.40175425099138,218,TRAIN,SMALL
r010s024,0.7761711972238288,1.0,703,TRAIN,MEDIUM
